symbol,side,size,price,timestamp
BTC,BUY,0.0014,14305210.000,2025-11-30 21:00:01.694
BTC,BUY,0.0002,14305210.000,2025-11-30 21:00:01.732
BTC,SELL,0.0017,14302155.000,2025-11-30 21:00:15.242
BTC,BUY,0.0001,14305320.000,2025-11-30 21:01:25.113
BTC,SELL,0.0001,14302155.000,2025-11-30 21:06:08.203
BTC,SELL,0.0001,14299000.000,2025-11-30 21:06:08.203
BTC,SELL,0.0010,14297700.000,2025-11-30 21:06:08.203
BTC,SELL,0.0001,14295415.000,2025-11-30 21:06:08.203
BTC,SELL,0.0050,14295414.000,2025-11-30 21:06:08.203
BTC,SELL,0.0050,14295414.000,2025-11-30 21:06:08.203
BTC,SELL,0.0001,14294737.000,2025-11-30 21:06:08.203
BTC,BUY,0.0100,14300580.000,2025-11-30 21:06:49.399
BTC,BUY,0.0010,14302160.000,2025-11-30 21:07:51.209
BTC,BUY,0.0001,14295229.000,2025-11-30 21:10:08.061
BTC,BUY,0.0001,14295129.000,2025-11-30 21:10:23.086
BTC,SELL,0.0001,14291778.000,2025-11-30 21:10:44.035
BTC,SELL,0.0001,14291778.000,2025-11-30 21:10:44.035
BTC,SELL,0.0029,14291098.000,2025-11-30 21:10:44.035
BTC,SELL,0.0029,14291098.000,2025-11-30 21:10:44.035
BTC,SELL,0.0001,14284836.000,2025-11-30 21:10:44.035
BTC,BUY,0.0001,14286360.000,2025-11-30 21:10:46.704
BTC,BUY,0.0001,14285045.000,2025-11-30 21:11:41.474
BTC,SELL,0.0001,14284840.000,2025-11-30 21:12:22.163
BTC,SELL,0.0417,14284836.000,2025-11-30 21:12:22.163
BTC,SELL,0.0007,14284836.000,2025-11-30 21:12:22.840
BTC,SELL,0.0017,14281759.000,2025-11-30 21:12:22.916
BTC,SELL,0.0002,14280000.000,2025-11-30 21:12:22.968
BTC,SELL,0.0001,14280000.000,2025-11-30 21:12:22.968
BTC,SELL,0.0003,14280000.000,2025-11-30 21:12:22.968
BTC,SELL,0.0005,14280000.000,2025-11-30 21:12:22.968
BTC,BUY,0.0064,14280447.000,2025-11-30 21:12:25.200
BTC,SELL,0.0196,14280000.000,2025-11-30 21:12:26.521
BTC,SELL,0.0005,14279992.000,2025-11-30 21:12:26.521
BTC,SELL,0.0046,14279992.000,2025-11-30 21:12:26.876
BTC,SELL,0.0050,14279376.000,2025-11-30 21:12:27.505
BTC,SELL,0.0016,14276067.000,2025-11-30 21:12:27.505
BTC,SELL,0.0008,14275383.000,2025-11-30 21:12:27.505
BTC,SELL,0.0121,14273698.000,2025-11-30 21:12:27.505
BTC,SELL,0.0125,14273698.000,2025-11-30 21:12:27.538
BTC,BUY,0.0006,14280000.000,2025-11-30 21:12:27.613
BTC,BUY,0.0060,14280001.000,2025-11-30 21:12:27.613
BTC,SELL,0.0149,14272000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0010,14270001.000,2025-11-30 21:12:27.659
BTC,SELL,0.0002,14270000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0000,14270000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0001,14270000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0001,14270000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0100,14270000.000,2025-11-30 21:12:27.659
BTC,SELL,0.0001,14269830.000,2025-11-30 21:12:27.659
BTC,SELL,0.0001,14264699.000,2025-11-30 21:12:27.659
BTC,SELL,0.0156,14264172.000,2025-11-30 21:12:27.659
BTC,SELL,0.0044,14264172.000,2025-11-30 21:12:27.716
BTC,SELL,0.0056,14263012.000,2025-11-30 21:12:27.716
BTC,SELL,0.0001,14263011.000,2025-11-30 21:12:28.062
BTC,SELL,0.0001,14262284.000,2025-11-30 21:12:28.062
BTC,SELL,0.0089,14261967.000,2025-11-30 21:12:28.062
BTC,SELL,0.0046,14261967.000,2025-11-30 21:12:28.183
BTC,SELL,0.0059,14261967.000,2025-11-30 21:12:28.277
BTC,SELL,0.0002,14260000.000,2025-11-30 21:12:28.277
BTC,SELL,0.0001,14260000.000,2025-11-30 21:12:28.277
BTC,SELL,0.0000,14260000.000,2025-11-30 21:12:28.277
BTC,SELL,0.0039,14260000.000,2025-11-30 21:12:28.277
BTC,SELL,0.0046,14261350.000,2025-11-30 21:12:28.634
BTC,BUY,0.0015,14262610.000,2025-11-30 21:12:29.513
BTC,BUY,0.0031,14262610.000,2025-11-30 21:13:03.546
BTC,BUY,0.0200,14263450.000,2025-11-30 21:13:08.503
BTC,BUY,0.0056,14263449.000,2025-11-30 21:13:08.814
BTC,BUY,0.0040,14265820.000,2025-11-30 21:13:10.160
BTC,BUY,0.0011,14269770.000,2025-11-30 21:13:28.653
BTC,BUY,0.0011,14271350.000,2025-11-30 21:13:35.097
BTC,BUY,0.0014,14273720.000,2025-11-30 21:13:41.482
BTC,BUY,0.0016,14280040.000,2025-11-30 21:13:47.963
BTC,BUY,0.0014,14280147.000,2025-11-30 21:13:54.397
BTC,BUY,0.0005,14281238.000,2025-11-30 21:14:00.871
BTC,SELL,0.0004,14278884.000,2025-11-30 21:14:09.958
BTC,SELL,0.0007,14280000.000,2025-11-30 21:14:41.087
BTC,SELL,0.0007,14278884.000,2025-11-30 21:14:41.087
BTC,BUY,0.0001,14280830.000,2025-11-30 21:14:42.017
BTC,BUY,0.0047,14284470.000,2025-11-30 21:15:16.144
BTC,SELL,0.0007,14284470.000,2025-11-30 21:16:16.483
BTC,BUY,0.0002,14277975.000,2025-11-30 21:16:20.080
BTC,BUY,0.0004,14277975.000,2025-11-30 21:16:21.622
BTC,BUY,0.0002,14277833.000,2025-11-30 21:16:26.556
BTC,BUY,0.0003,14277974.000,2025-11-30 21:16:32.969
BTC,BUY,0.0014,14276976.000,2025-11-30 21:16:39.475
BTC,BUY,0.0015,14277670.000,2025-11-30 21:16:45.920
BTC,BUY,0.0013,14276605.000,2025-11-30 21:17:43.286
BTC,BUY,0.0001,14276000.000,2025-11-30 21:17:59.654
BTC,BUY,0.0001,14277080.000,2025-11-30 21:17:59.654
BTC,BUY,0.0001,14277080.000,2025-11-30 21:18:37.913
BTC,BUY,0.0001,14276965.000,2025-11-30 21:18:51.690
BTC,BUY,0.0010,14272574.000,2025-11-30 21:19:39.060
BTC,BUY,0.0008,14272574.000,2025-11-30 21:20:04.124
BTC,SELL,0.0021,14272569.000,2025-11-30 21:20:47.438
BTC,SELL,0.0000,14272569.000,2025-11-30 21:20:51.206
BTC,SELL,0.0030,14270000.000,2025-11-30 21:20:51.206
